caldt,T-bill,Mkt Index,Your Portfolio
20110523,0,-1.29,-1.656
20110524,0,-0.14,0.064
20110525,0,0.45,1.38
20110526,0,0.52,0.922
20110527,0,0.49,0.412
20110531,0,1.04,1.232
20110601,0,-2.33,-2.324
20110602,0,-0.1,-0.136
20110603,0,-1.1,-1.304
20110606,0,-1.18,-1.402
20110607,0,-0.04,0.344
20110608,0,-0.54,-0.72
20110609,0,0.75,1.02
20110610,0,-1.37,-2.006
20110613,0,0.01,-0.572
20110614,0,1.36,2.152
20110615,0,-1.72,-1.9
20110616,0,0.12,-0.63
20110617,0,0.25,-0.278
20110620,0,0.58,0.934
20110621,0,1.52,2.474
20110622,0,-0.62,-0.53
20110623,0,-0.14,0.682
20110624,0,-1.1,-1.37
20110627,0,0.89,1.046
20110628,0,1.36,2.416
20110629,0,0.77,0.362
20110630,0,0.99,1.368
20110701,0,1.45,1.576
20110705,0,-0.08,1.15
20110706,0,0.18,0.72
20110707,0,1.1,0.89
20110708,0,-0.67,-0.202
20110711,0,-1.91,-1.832
20110712,0,-0.45,-1.074
20110713,0,0.45,0.72
20110714,0,-0.82,-1.012
20110715,0,0.58,1.216
20110718,0,-0.94,-0.526
20110719,0,1.72,2.392
20110720,0,-0.1,-0.892
20110721,0,1.29,0.348
20110722,0,0.1,0.712
20110725,0,-0.68,-0.83
20110726,0,-0.47,-0.902
20110727,0,-2.16,-2.814
20110728,0,-0.31,-0.16
20110729,0,-0.56,-0.554
20110801,0,-0.4,-0.514
20110802,0,-2.68,-3.292
20110803,0,0.58,0.736
20110804,0,-5.04,-6.072
20110805,0,-0.36,-0.414
20110808,0,-6.97,-6.7
20110809,0,4.97,5.546
20110810,0,-4.3,-2.518
20110811,0,4.72,4.702
20110812,0,0.54,2.112
20110815,0,2.25,1.524
20110816,0,-1.07,-1.436
20110817,0,-0.01,-0.814
20110818,0,-4.65,-6.198
20110819,0,-1.55,-1.688
20110822,0,-0.03,0.438
20110823,0,3.6,5.376
20110824,0,1.35,0.594
20110825,0,-1.67,-2.246
20110826,0,1.74,3.18
20110829,0,3.11,2.66
20110830,0,0.32,1.202
20110831,0,0.42,0.06
20110901,0,-1.33,-0.508
20110902,0,-2.64,-1.992
20110906,0,-0.71,0.346
20110907,0,3.06,1.656
20110908,0,-1.18,-0.394
20110909,0,-2.65,-2.59
20110912,0,0.68,0.392
20110913,0,1.12,1.396
